beta_guess,n_guess,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
5.5,1.0,1,0.003994274139404297,0.0,0.0003009637196858724,0.0,0.0021476189295450846,0.0,0.005965181683527095,0.0
5.5,1.5,1,0.004067420959472656,0.0,1.5894571940104167e-06,0.0,0.0020345052083333335,0.0,0.012451279464822728,0.0
5.5,2.0,1,0.004119968414306641,0.0,8.31286112467448e-05,0.0,0.002101548512776693,0.0,0.005624752198984,0.0
5.5,2.5,1,0.004070472717285156,0.0,0.00034737586975097656,0.0,0.0022089242935180663,0.0,0.008554526893381516,0.0
5.5,3.0,1,0.0042098045349121095,0.0,3.719329833984375e-05,0.0,0.0021234989166259766,0.0,0.004929897115090219,0.0
5.5,3.5,1,0.0040839195251464845,0.0,0.00033728281656901043,0.0,0.0022106011708577476,0.0,0.010408094927241195,0.0
5.5,4.0,1,0.004132080078125,0.0,0.0002419153849283854,0.0,0.002186997731526693,0.0,0.011299415412093183,0.0
5.5,5.0,1,0.00410003662109375,0.0,0.00024692217508951825,0.0,0.002173479398091634,0.0,0.011980343122818753,0.0
5.5,10.0,1,0.007977008819580078,0.0,0.0024389425913492837,0.0,0.005207975705464681,0.0,0.005704573874903145,0.0
6.0,1.0,1,0.003998661041259765,0.0,0.00011658668518066406,0.0,0.0020576238632202147,0.0,0.005427294523895933,0.0
6.0,1.5,1,0.004048919677734375,0.0,0.00024469693501790363,0.0,0.0021468083063761394,0.0,0.005090025916740841,0.0
6.0,2.0,1,0.0040987968444824215,0.0,0.00013836224873860678,0.0,0.002118579546610514,0.0,0.008993655154117385,0.0
6.0,2.5,1,0.004085636138916016,0.0,0.00032981236775716144,0.0,0.0022077242533365886,0.0,0.005640827795351274,0.0
6.0,3.0,1,0.004075241088867187,0.0,0.0003429253896077474,0.0,0.002209083239237467,0.0,0.005090610428857969,0.0
6.0,3.5,1,0.004119396209716797,0.0,0.0003027915954589844,0.0,0.0022110939025878906,0.0,0.005965424754280071,0.0
6.0,4.0,1,0.004186153411865234,0.0,2.0583470662434895e-05,0.0,0.0021033684412638345,0.0,0.008366488290187478,0.0
6.0,5.0,1,0.004279994964599609,0.0,0.0001567999521891276,0.0,0.0022183974583943685,0.0,0.005269429276974177,0.0
6.0,10.0,1,0.052562904357910153,0.0,0.013061761856079102,0.0,0.03281233310699463,0.0,0.018815077893102217,0.0
7.0,1.0,1,0.0039398193359375,0.0,0.0004226366678873698,0.0,0.002181228001912435,0.0,0.011250673956956421,0.0
7.0,1.5,1,0.003968524932861328,0.0,0.0004888375600179037,0.0,0.002228681246439616,0.0,0.009729037447633983,0.0
7.0,2.0,1,0.004016494750976563,0.0,0.00028125445048014325,0.0,0.002148874600728353,0.0,0.005537226868510517,0.0
7.0,2.5,1,0.004029273986816406,0.0,0.00021799405415852865,0.0,0.0021236340204874673,0.0,0.005550555133180874,0.0
7.0,3.0,1,0.004097461700439453,0.0,2.1457672119140625e-06,0.0,0.0020498037338256836,0.0,0.00978331748040993,0.0
7.0,3.5,1,0.004085445404052734,0.0,0.00012103716532389323,0.0,0.0021032412846883138,0.0,0.00506485746637025,0.0
7.0,4.0,1,0.004088020324707032,0.0,6.771087646484375e-05,0.0,0.0020778656005859377,0.0,0.007991237305227534,0.0
7.0,5.0,1,0.003903770446777344,0.0,7.446606953938802e-05,0.0,0.001989118258158366,0.0,0.011583748051820998,0.0
7.0,10.0,1,0.18729543685913086,0.0,0.0520928700764974,0.0,0.11969415346781413,0.0,0.05905552976756342,0.0
15.0,1.0,1,1.0566825866699219,0.0,0.4870883623758952,0.0,0.7718854745229086,0.0,0.19912786893702913,0.0
15.0,1.5,1,1.2478994369506835,0.0,0.661909262339274,0.0,0.9549043496449787,0.0,0.21321230450454,0.0
15.0,2.0,1,1.4324542999267578,0.0,0.7877705891927084,0.0,1.110112444559733,0.0,0.22078310401698303,0.0
15.0,2.5,1,1.5651742935180664,0.0,0.8708335558573405,0.0,1.2180039246877035,0.0,0.22535945200467158,0.0
15.0,3.0,1,1.6617313385009767,0.0,0.9238735834757487,0.0,1.2928024609883626,0.0,0.22841847384208383,0.0
15.0,3.5,1,1.7292352676391602,0.0,0.9612153371175131,0.0,1.3452253023783367,0.0,0.2286152558353753,0.0
15.0,4.0,1,1.7781600952148438,0.0,0.9908107121785482,0.0,1.384485403696696,0.0,0.231200047912444,0.0
15.0,5.0,1,1.847984504699707,0.0,1.028317928314209,0.0,1.438151216506958,0.0,0.2312937927595504,0.0
15.0,10.0,1,2.071372413635254,0.0,1.4263815879821777,0.0,1.7488770008087158,0.0,0.24282092488036727,0.0
