beta_guess,n_guess,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
5.0,1.5,0,0.06835098266601562,0.18452843030293783,0.12643970648447672,0.04370297887726618,results/exp4_initial_guess/runs/bg5.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,2.0,0,0.03352031707763672,0.10223086675008138,0.06787559191385904,0.025558137713290383,results/exp4_initial_guess/runs/bg5.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,2.5,0,0.012235355377197266,0.052711168924967446,0.03247326215108236,0.027427910075024632,results/exp4_initial_guess/runs/bg5.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,3.0,0,0.0002063751220703125,0.013623317082722982,0.006914846102396647,0.05196035040206549,results/exp4_initial_guess/runs/bg5.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,3.5,0,0.008368778228759765,0.02887264887491862,0.018620713551839193,0.04053594782640034,results/exp4_initial_guess/runs/bg5.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,4.0,0,0.01548318862915039,0.09427849451700847,0.05488084157307943,0.06564965539425945,results/exp4_initial_guess/runs/bg5.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,4.5,0,0.02301054000854492,0.19951979319254556,0.11126516660054524,0.11753966943804849,results/exp4_initial_guess/runs/bg5.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,5.0,0,0.028218650817871095,0.32894007364908856,0.17857936223347984,0.137065904385851,results/exp4_initial_guess/runs/bg5.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,1.0,0,0.033582878112792966,0.30171998341878253,0.16765143076578776,0.12134744324357237,results/exp4_initial_guess/runs/bg6.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,1.5,0,0.08419523239135743,0.16624252001444498,0.1252188762029012,0.08946081409289833,results/exp4_initial_guess/runs/bg6.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,2.0,0,0.12233533859252929,0.08003473281860352,0.1011850357055664,0.07410864393672581,results/exp4_initial_guess/runs/bg6.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,2.5,0,0.14901819229125976,0.02079931894938151,0.08490875562032063,0.07281953565646919,results/exp4_initial_guess/runs/bg6.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,3.0,0,0.1680668830871582,0.028925975163777668,0.09849642912546794,0.07541318746341007,results/exp4_initial_guess/runs/bg6.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,3.5,0,0.1826838493347168,0.09168052673339844,0.13718218803405763,0.08468914744578583,results/exp4_initial_guess/runs/bg6.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,4.0,0,0.1939946174621582,0.17925635973612467,0.18662548859914144,0.10496837808798958,results/exp4_initial_guess/runs/bg6.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,4.5,0,0.20365505218505858,0.2992924054463704,0.2514737288157145,0.13955219504607988,results/exp4_initial_guess/runs/bg6.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
6.0,5.0,0,0.21168594360351561,0.4436756769816081,0.32768081029256185,0.17821804530889224,results/exp4_initial_guess/runs/bg6.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
